Beam,1050,1100,1150,1200,1250,1300,1350,1400,1450
M01a,3.31,2.54,0.34,5.03,4.94,9.83,8.50,7.87,10.64
M02a,9.46,6.28,9.01,12.13,10.98,11.31,8.71,8.78,13.07
M03a,1.79,4.39,2.41,5.95,6.90,7.41,9.99,7.66,10.30 
M04a,3.57,1.87,3.82,3.90,8.46,4.29,2.75,1.85,5.10
M05a,-3.97,-4.25,-4.44,-7.54,-4.09,-5.41,-3.33,-4.51,-4.58
M06a,1.69,0.74,-0.00,1.06,0.97,0.33,3.11,-0.03,1.37
M07a,1.71,0.08,0.77,2.03,2.24,3.46,5.46,6.70,6.91
M08a,13.91,17.00,14.04,16.81,17.71,17.29,16.95,15.92,17.76
M09a,-1.26,-0.43,-2.68,0.12,0.96,1.53,1.09,1.00,0.27
M10a,14.36,15.37,15.65,15.20,18.06,17.97,19.34,16.72,18.57
M12a,-3.00,-2.08,1.33,4.98,8.50,-0.98,2.94,2.49,2.77
M13a,-1.33,0.41,2.41,-1.35,2.44,2.60,4.14,5.50,5.83 
M14a,0.35,-0.57,4.27,3.01,7.37,2.58,4.43,5.43,5.53
M11a,7.68,2.98,4.16,3.38,2.45,4.27,5.99,5.03,8.23
M15a,1.33,-0.59,-3.57,3.71,-1.46,-2.34,-2.80,-3.55,-2.20
M16a,9.81,3.14,0.38,3.85,6.30,5.25,2.32,0.49,1.14
M17a,-0.89,-4.49,-3.98,-7.57,-3.25,-0.30,-0.80,-1.44,-0.64
M18a,-1.88,-5.55,-5.94,-1.53,-2.21,-0.75,-1.19,0.24, 0.93
M19a,11.82,6.55,5.01,10.73,9.32,8.64,10.22,9.32,11.03
M01b,6.19,6.32,6.43,6.22,6.22,6.08,6.12,6.14,5.98
M02b,5.97,5.97,5.99,5.81,5.81,5.65,5.75,5.75,5.62
M03b,6.41,6.24,6.42,6.21,6.17,6.07,5.91,5.99,5.86
M04b,6.24,6.15,6.25,6.05,5.98,5.92,5.89,5.89,5.75
M05b,6.45,6.48,6.68,6.42,6.39,6.26,6.10,6.17,6.11
M06b,6.16,6.22,6.33,6.01,6.04,5.92,5.83,5.89,5.75
M07b,6.10,6.04,6.18,5.90,6.02,5.86,5.77,5.73,5.62
M08b,5.76,5.75,5.81,5.62,5.54,5.46,5.41,5.34,5.22
M09b,5.96,5.95,5.98,5.75,5.77,5.74,5.64,5.57,5.53
M10b,6.01,5.98,6.04,5.81,5.86,5.75,5.72,5.69,5.60
M11b,5.90,5.94,6.00,5.81,5.80,5.67,5.66,5.61,5.45
M12b,6.06,5.96,5.91,5.82,5.76,5.70,5.58,5.53,5.48
M13b,6.18,6.12,6.22,6.23,6.04,6.00,5.94,5.85,5.71
M14b,5.91,5.98,5.91,5.76,5.73,5.78,5.64,5.59,5.53
M15b,5.62,5.78,5.83,5.59,5.68,5.61,5.53,5.50,5.46
M16b,5.44,5.52,5.55,5.47,5.29,5.28,5.19,5.17,5.09
M17b,5.81,5.83,5.85,5.71,5.65,5.47,5.48,5.41,5.28
M18b,5.64,5.68,5.81,5.60,5.57,5.46,5.38,5.38,5.33
M19b,5.70,5.88,5.92,5.67,5.69,5.61,5.48,5.43,5.30
M01c,-1.58,-1.61,-1.37,-1.40,-1.42,-1.38,-1.40,-1.34,-1.26
